Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time,Unnamed: 12,Unnamed: 13,Unnamed: 14
analcatdata_broadwaymult,FastForest,9,"{'n_estimators': 15, 'min_samples_leaf': 3, 'max_depth': 12}",0.5,0.2,0.1154,0.3427,0.8140000000000001,0.3958,0.51,0.43,,,
analcatdata_broadwaymult,RandomForest,9,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.4286,0.1429,0.1429,0.1837,0.6329,0.1873,0.06,0.07,,,
analcatdata_broadwaymult,FastForest,10,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_depth': 12}",0.6071,0.3442,0.079,0.4143,0.8599,0.5735,0.56,0.39,,,
analcatdata_broadwaymult,RandomForest,10,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.3929,0.1429,0.1429,0.1543,0.5802,0.2236,0.03,0.07,,,
analcatdata_germangss,FastForest,1,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 3}",0.3125,0.0769,0.0769,0.0977,0.6869,,0.08,0.06,,,
analcatdata_germangss,RandomForest,1,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.3125,0.0769,0.0769,0.0977,0.5,,0.01,0.03,,,
analcatdata_germangss,FastForest,2,"{'n_estimators': 15, 'min_samples_leaf': 3, 'max_depth': 6}",0.2812,0.075,0.083,0.1125,0.5829,,0.32,0.25,,,
analcatdata_germangss,RandomForest,2,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.3125,0.0833,0.0833,0.0977,0.5,,0.01,0.03,,,
analcatdata_germangss,FastForest,3,"{'n_estimators': 15, 'min_samples_leaf': 3, 'max_depth': 12}",0.3438,0.1,0.0694,0.1761,0.6457,,0.52,0.31,,,
analcatdata_germangss,RandomForest,3,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.3125,0.0769,0.0769,0.0977,0.5,,0.01,0.06,,,
analcatdata_germangss,FastForest,4,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_depth': 3}",0.2188,0.0694,0.0856,0.1032,0.5429,,0.22,0.25,,,
analcatdata_germangss,RandomForest,4,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.2812,0.0833,0.0833,0.0791,0.5,,0.01,0.06,,,
